year,semester,campus,course_code,course_prefix,is_core,is_math,avg_fail_ratio_3y,recent_fail_count,is_offered_last_year,latent_demand_count,bottleneck_score,plan_alignment_score,course_level,gap_since_last_offered,is_offered
2020,Fall,Beirut,CSC201,CSC,1,0,0.0,0,0,0,0,1.0,2,99,1
2020,Fall,Beirut,CSC243,CSC,1,0,0.0,0,0,0,1,1.0,2,99,1
2020,Fall,Beirut,CSC245,CSC,1,0,0.0,0,0,0,4,0.0,2,99,1
2020,Fall,Beirut,CSC310,CSC,1,0,0.0,0,0,0,6,1.0,3,99,1
2020,Fall,Beirut,CSC317,CSC,0,0,0.0,0,0,0,0,1.0,3,99,0
2020,Fall,Beirut,CSC320,CSC,1,0,0.0,0,0,0,1,0.0,3,99,1
2020,Fall,Beirut,CSC326,CSC,1,0,0.0,0,0,0,7,1.0,3,99,1
2020,Fall,Beirut,CSC375,CSC,1,0,0.0,0,0,0,5,0.0,3,99,1
2020,Fall,Beirut,CSC380,CSC,1,0,0.0,0,0,0,0,0.0,3,99,0
2020,Fall,Beirut,CSC430,CSC,1,0,0.0,0,0,0,1,0.0,4,99,1
2020,Fall,Beirut,CSC431,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC433,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC435,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC437,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC438,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC439,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC443,CSC,0,0,0.0,0,0,0,0,1.0,4,99,1
2020,Fall,Beirut,CSC446,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC447,CSC,1,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC460,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC461,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC462,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC463,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC464,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC490,CSC,1,0,0.0,0,0,0,2,0.0,4,99,0
2020,Fall,Beirut,CSC491,CSC,1,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC498,CSC,0,0,0.0,0,0,0,0,1.0,4,99,0
2020,Fall,Beirut,CSC597,CSC,0,0,0.0,0,0,0,0,1.0,5,99,0
2020,Fall,Beirut,CSC598,CSC,1,0,0.0,0,0,0,0,1.0,5,99,0
2020,Fall,Beirut,CSC599,CSC,1,0,0.0,0,0,0,0,1.0,5,99,1
2020,Fall,Beirut,CSC600,CSC,0,0,0.0,0,0,0,0,1.0,6,99,1
2020,Fall,Beirut,CSC611,CSC,0,0,0.0,0,0,0,0,1.0,6,99,1
2020,Fall,Beirut,CSC612,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC613,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC614,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC615,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC616,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC617,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC618,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC619,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC621,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC622,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC623,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC624,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC625,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC630,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC631,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC632,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC633,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC634,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC635,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC636,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC637,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC638,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC647,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC650,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC660,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC662,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
2020,Fall,Beirut,CSC664,CSC,0,0,0.0,0,0,0,0,1.0,6,99,0
